transaction_id,city,customer_id,branch_code,amount,currency,date,status,channel,device_type,attempt_count
TXN500171,delhi,CUST9428,DELB02,1516.96,EUR,2025-05-06,passed,online,ios,2
TXN800290,delhi,CUST7989,DELB02,2367.87,USD,2025-05-02,passed,online,ios,2
TXN674511,delhi,CUST3259,DELB02,4516.71,EUR,2025-05-08,failed,branch,web,5
TXN829801,delhi,CUST6748,DELB02,685.43,EUR,2025-05-02,failed,branch,ios,5
TXN295994,delhi,CUST2083,DELB02,1438.54,EUR,2025-05-07,failed,online,ios,3
TXN215908,delhi,CUST6310,DELB02,2402.85,INR,2025-05-05,passed,branch,android,5
TXN836267,delhi,CUST7569,DELB02,7350.58,INR,2025-05-03,,mobile,web,3
TXN856582,delhi,CUST8234,DELB02,3854.33,USD,2025-05-04,,online,android,4
TXN501559,delhi,CUST5880,DELB02,2615.89,USD,2025-05-04,,mobile,android,3
TXN481861,delhi,CUST4073,DELB02,4868.75,EUR,2025-05-04,passed,mobile,ios,2
TXN169223,delhi,CUST7822,DELB02,8378.84,INR,2025-05-05,failed,branch,web,1
TXN848690,delhi,CUST2648,DELB02,5264.89,USD,2025-05-05,failed,online,android,3
TXN244029,delhi,CUST9849,DELB02,7440.79,USD,2025-05-08,,branch,web,4
TXN146270,delhi,CUST7577,DELB02,8477.03,USD,2025-05-08,,online,ios,5
TXN401388,delhi,CUST2000,DELB02,6068.2,EUR,2025-05-02,failed,branch,web,3
TXN754261,delhi,CUST1012,DELB02,1658.05,USD,2025-05-02,,mobile,android,5
TXN744767,delhi,CUST7805,DELB02,6946.86,INR,2025-05-07,passed,online,ios,2
TXN918555,delhi,CUST7420,DELB02,156.54,USD,2025-05-08,passed,online,android,3
TXN635316,delhi,CUST3123,DELB02,1901.16,EUR,2025-05-08,failed,mobile,android,1
TXN833076,delhi,CUST8305,DELB02,141.97,EUR,2025-05-04,passed,online,android,5
TXN988586,delhi,CUST5532,DELB02,5079.18,INR,2025-05-08,failed,mobile,android,5
TXN428193,delhi,CUST8006,DELB02,5753.54,EUR,2025-05-06,,mobile,web,5
TXN160699,delhi,CUST2697,DELB02,2245.24,USD,2025-05-03,failed,mobile,ios,4
TXN421421,delhi,CUST7690,DELB02,6387.78,INR,2025-05-02,passed,mobile,ios,1
TXN634009,delhi,CUST4247,DELB02,4213.99,USD,2025-05-08,failed,online,ios,3
TXN847695,delhi,CUST7359,DELB02,4564.71,INR,2025-05-05,failed,online,android,4
TXN594733,delhi,CUST7012,DELB02,1389.19,USD,2025-05-02,failed,online,android,1
TXN683799,delhi,CUST7553,DELB02,7970.03,EUR,2025-05-05,,online,ios,4
TXN766227,delhi,CUST9264,DELB02,9913.23,INR,2025-05-06,passed,mobile,web,3
TXN219698,delhi,CUST9653,DELB02,4209.08,USD,2025-05-06,,mobile,android,1
TXN182353,delhi,CUST8230,DELB02,5536.71,EUR,2025-05-06,,mobile,ios,4
TXN647202,delhi,CUST2838,DELB02,1717.87,USD,2025-05-04,failed,branch,web,5
TXN709326,delhi,CUST2982,DELB02,9289.16,EUR,2025-05-07,,mobile,ios,4
TXN590158,delhi,CUST4893,DELB02,8124.28,USD,2025-05-02,,mobile,android,3
TXN429333,delhi,CUST6553,DELB02,5556.9,USD,2025-05-03,failed,mobile,ios,3
TXN394922,delhi,CUST3686,DELB02,1036.61,INR,2025-05-05,passed,online,web,1
TXN175707,delhi,CUST3667,DELB02,8725.62,INR,2025-05-04,passed,mobile,android,4
TXN631491,delhi,CUST7847,DELB02,7150.05,INR,2025-05-07,failed,mobile,android,5
