transaction_id,city,customer_id,branch_code,amount,currency,date,status,channel,device_type,attempt_count
TXN979362,kashmir,CUST1296,KASB05,7377.35,EUR,2025-05-04,,branch,ios,4
TXN506571,kashmir,CUST9923,KASB05,8950.41,INR,2025-05-04,,online,web,4
TXN536265,kashmir,CUST3172,KASB05,975.44,USD,2025-05-08,passed,branch,web,4
TXN862484,kashmir,CUST8764,KASB05,7437.01,INR,2025-05-06,failed,branch,android,1
TXN838875,kashmir,CUST7338,KASB05,5621.38,EUR,2025-05-08,,mobile,android,4
TXN406903,kashmir,CUST6895,KASB05,785.94,EUR,2025-05-03,,branch,web,3
TXN306090,kashmir,CUST9172,KASB05,8101.63,USD,2025-05-06,passed,mobile,android,4
TXN508996,kashmir,CUST2949,KASB05,8113.15,INR,2025-05-07,,online,ios,2
TXN927523,kashmir,CUST5720,KASB05,1016.47,INR,2025-05-05,passed,branch,android,5
TXN200043,kashmir,CUST5833,KASB05,4998.87,EUR,2025-05-07,failed,branch,android,1
TXN743156,kashmir,CUST9866,KASB05,5481.94,USD,2025-05-05,passed,branch,web,2
TXN194037,kashmir,CUST6637,KASB05,6518.34,INR,2025-05-04,failed,mobile,ios,4
TXN490005,kashmir,CUST1797,KASB05,5272.27,EUR,2025-05-08,,mobile,android,5
TXN516077,kashmir,CUST4335,KASB05,8985.26,INR,2025-05-08,passed,online,ios,1
TXN590478,kashmir,CUST3286,KASB05,7488.53,USD,2025-05-06,,mobile,web,5
TXN776801,kashmir,CUST8864,KASB05,5495.77,INR,2025-05-04,passed,online,web,3
TXN743245,kashmir,CUST1304,KASB05,5012.48,INR,2025-05-03,passed,mobile,ios,3
TXN601877,kashmir,CUST6708,KASB05,2987.81,USD,2025-05-05,passed,mobile,ios,4
TXN938467,kashmir,CUST6419,KASB05,3242.39,EUR,2025-05-08,failed,mobile,web,4
TXN974259,kashmir,CUST7050,KASB05,3012.17,INR,2025-05-05,,mobile,web,5
TXN938457,kashmir,CUST9729,KASB05,9026.64,USD,2025-05-03,failed,mobile,ios,4
TXN280433,kashmir,CUST4975,KASB05,606.07,EUR,2025-05-05,,mobile,web,3
TXN476189,kashmir,CUST7948,KASB05,4499.88,USD,2025-05-03,passed,mobile,web,4
TXN279772,kashmir,CUST3446,KASB05,626.86,USD,2025-05-05,passed,mobile,web,5
TXN685775,kashmir,CUST4534,KASB05,4347.08,INR,2025-05-06,passed,mobile,ios,2
TXN421380,kashmir,CUST1636,KASB05,731.41,EUR,2025-05-05,,mobile,web,1
TXN951914,kashmir,CUST9416,KASB05,3907.89,USD,2025-05-05,passed,mobile,android,2
TXN406233,kashmir,CUST7346,KASB05,2975.04,EUR,2025-05-03,passed,online,web,1
TXN224198,kashmir,CUST6462,KASB05,402.98,EUR,2025-05-04,passed,mobile,web,1
TXN533485,kashmir,CUST6555,KASB05,3668.92,USD,2025-05-04,failed,online,web,3
TXN956944,kashmir,CUST9848,KASB05,6277.94,EUR,2025-05-06,passed,branch,android,4
TXN679272,kashmir,CUST6581,KASB05,5008.55,USD,2025-05-06,failed,mobile,ios,4
TXN253156,kashmir,CUST2756,KASB05,4799.86,USD,2025-05-06,failed,branch,web,3
TXN622767,kashmir,CUST1489,KASB05,402.93,EUR,2025-05-03,failed,online,ios,2
TXN613530,kashmir,CUST4973,KASB05,2732.71,INR,2025-05-06,failed,online,android,4
TXN702089,kashmir,CUST7029,KASB05,3405.08,EUR,2025-05-07,passed,mobile,ios,1
TXN553734,kashmir,CUST5778,KASB05,4538.6,INR,2025-05-08,failed,online,android,1
TXN887766,kashmir,CUST7607,KASB05,6096.54,EUR,2025-05-02,passed,branch,ios,3
TXN263870,kashmir,CUST3361,KASB05,7484.8,EUR,2025-05-04,failed,branch,web,4
TXN189003,kashmir,CUST6752,KASB05,6365.25,EUR,2025-05-03,,mobile,android,3
TXN670860,kashmir,CUST3981,KASB05,8289.9,INR,2025-05-04,failed,branch,web,1
TXN665026,kashmir,CUST1800,KASB05,1584.03,USD,2025-05-08,passed,online,android,4
TXN206497,kashmir,CUST6585,KASB05,8881.09,INR,2025-05-04,passed,mobile,android,2
TXN410132,kashmir,CUST9131,KASB05,8341.4,INR,2025-05-03,passed,online,ios,2
TXN937722,kashmir,CUST8277,KASB05,7877.89,EUR,2025-05-06,,mobile,android,1
TXN849321,kashmir,CUST9492,KASB05,2240.45,USD,2025-05-03,passed,mobile,web,2
TXN846642,kashmir,CUST3856,KASB05,4255.45,USD,2025-05-05,failed,mobile,android,1
TXN883768,kashmir,CUST5737,KASB05,2568.35,EUR,2025-05-03,passed,online,web,3
TXN109937,kashmir,CUST2465,KASB05,2596.57,USD,2025-05-04,passed,branch,android,1
TXN941060,kashmir,CUST3293,KASB05,3750.34,EUR,2025-05-08,failed,mobile,web,3
TXN825156,kashmir,CUST6148,KASB05,8254.78,EUR,2025-05-06,failed,online,web,4
TXN596696,kashmir,CUST6382,KASB05,2325.74,INR,2025-05-07,failed,branch,ios,4
TXN903171,kashmir,CUST9414,KASB05,7380.55,EUR,2025-05-07,,online,android,4
TXN349539,kashmir,CUST2241,KASB05,5527.78,INR,2025-05-04,passed,branch,ios,4
TXN491304,kashmir,CUST8298,KASB05,8734.79,EUR,2025-05-07,failed,mobile,web,4
TXN802597,kashmir,CUST8080,KASB05,666.86,INR,2025-05-08,failed,mobile,web,2
TXN455270,kashmir,CUST8682,KASB05,7507.69,USD,2025-05-04,passed,mobile,web,2
TXN297156,kashmir,CUST9731,KASB05,7842.64,EUR,2025-05-02,,branch,android,2
TXN560843,kashmir,CUST1350,KASB05,4309.97,EUR,2025-05-08,passed,mobile,android,3
TXN690140,kashmir,CUST2958,KASB05,4350.96,EUR,2025-05-08,,mobile,web,1
TXN437382,kashmir,CUST6872,KASB05,6896.98,EUR,2025-05-05,failed,branch,ios,2
TXN124586,kashmir,CUST9597,KASB05,2419.79,USD,2025-05-06,passed,online,web,3
TXN204629,kashmir,CUST5821,KASB05,3192.16,USD,2025-05-02,passed,mobile,android,2
TXN397270,kashmir,CUST5835,KASB05,126.47,INR,2025-05-08,,mobile,android,4
TXN943533,kashmir,CUST9624,KASB05,9565.34,INR,2025-05-04,,mobile,web,4
TXN352009,kashmir,CUST4019,KASB05,7250.44,USD,2025-05-03,,online,web,4
TXN460882,kashmir,CUST7069,KASB05,7494.38,USD,2025-05-03,passed,mobile,ios,2
TXN412028,kashmir,CUST1267,KASB05,5090.58,INR,2025-05-08,passed,online,android,2
TXN617581,kashmir,CUST3913,KASB05,6323.17,EUR,2025-05-05,,mobile,web,2
TXN377955,kashmir,CUST7910,KASB05,7231.25,USD,2025-05-04,passed,branch,ios,2
TXN255508,kashmir,CUST2008,KASB05,149.67,EUR,2025-05-05,passed,online,web,4
TXN273427,kashmir,CUST7476,KASB05,292.98,EUR,2025-05-03,,branch,web,3
TXN960648,kashmir,CUST4955,KASB05,3238.61,USD,2025-05-03,,branch,web,1
TXN721720,kashmir,CUST6345,KASB05,1391.82,EUR,2025-05-04,failed,mobile,web,2
TXN781322,kashmir,CUST2124,KASB05,5642.74,EUR,2025-05-06,passed,mobile,android,5
